election,election_date,section,contest,choice,total,vote_pct,election_day,absentee,provisional
2019 General Election,2019-11-05,contest,For Township Fiscal Officer - Spencer,Overvotes,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Township Fiscal Officer - Spencer,Undervotes,31,10.88%,28,3,0
2019 General Election,2019-11-05,contest,For Township Fiscal Officer - Spencer,Contest Totals,285,100.00%,253,32,0
2019 General Election,2019-11-05,contest,For Township Trustee - Sugar Creek,W. Wayne Williams,135,91.22%,130,5,0
2019 General Election,2019-11-05,contest,For Township Trustee - Sugar Creek,Total Votes Cast,135,91.22%,130,5,0
2019 General Election,2019-11-05,contest,For Township Trustee - Sugar Creek,Overvotes,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Township Trustee - Sugar Creek,Undervotes,13,8.78%,11,2,0
2019 General Election,2019-11-05,contest,For Township Trustee - Sugar Creek,Contest Totals,148,100.00%,141,7,0
2019 General Election,2019-11-05,contest,For Township Fiscal Officer - Sugar Creek,Edward J. Barnhart,134,90.54%,129,5,0
2019 General Election,2019-11-05,contest,For Township Fiscal Officer - Sugar Creek,Total Votes Cast,134,90.54%,129,5,0
2019 General Election,2019-11-05,contest,For Township Fiscal Officer - Sugar Creek,Overvotes,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Township Fiscal Officer - Sugar Creek,Undervotes,14,9.46%,12,2,0
2019 General Election,2019-11-05,contest,For Township Fiscal Officer - Sugar Creek,Contest Totals,148,100.00%,141,7,0
2019 General Election,2019-11-05,contest,For Member of Governing Board of ESC - Allen,Ann Best,"6,458",42.36%,"5,615",792,51
2019 General Election,2019-11-05,contest,For Member of Governing Board of ESC - Allen,Total Votes Cast,"6,458",42.36%,"5,615",792,51
2019 General Election,2019-11-05,contest,For Member of Governing Board of ESC - Allen,Overvotes,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Member of Governing Board of ESC - Allen,Undervotes,"8,788",57.64%,"7,587","1,132",69
2019 General Election,2019-11-05,contest,For Member of Governing Board of ESC - Allen,Contest Totals,"15,246",100.00%,"13,202","1,924",120
2019 General Election,2019-11-05,contest,For Member of Governing Board of ESC - Auglaize,David Shephard,0,,0,0,0
2019 General Election,2019-11-05,contest,For Member of Governing Board of ESC - Auglaize,Total Votes Cast,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Member of Governing Board of ESC - Auglaize,Overvotes,0,,0,0,0
2019 General Election,2019-11-05,contest,For Member of Governing Board of ESC - Auglaize,Undervotes,0,,0,0,0
2019 General Election,2019-11-05,contest,For Member of Governing Board of ESC - Auglaize,Contest Totals,0,,0,0,0
2019 General Election,2019-11-05,contest,For Member of Governing Board of ESC - Auglaize,No Valid Petition Filed,0,,0,0,0
2019 General Election,2019-11-05,contest,For Member of Governing Board of ESC - Auglaize,Total Votes Cast,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Member of Governing Board of ESC - Auglaize,Overvotes,0,,0,0,0
2019 General Election,2019-11-05,contest,For Member of Governing Board of ESC - Auglaize,Undervotes,0,,0,0,0
2019 General Election,2019-11-05,contest,For Member of Governing Board of ESC - Auglaize,Contest Totals,0,,0,0,0
2019 General Election,2019-11-05,contest,For Member of Governing Board of ESC - Putnam,William Goecke,59,30.73%,53,6,0
2019 General Election,2019-11-05,contest,For Member of Governing Board of ESC - Putnam,Marilyn M. Weber,67,34.90%,58,9,0
2019 General Election,2019-11-05,contest,For Member of Governing Board of ESC - Putnam,Total Votes Cast,126,65.62%,111,15,0
2019 General Election,2019-11-05,contest,For Member of Governing Board of ESC - Putnam,Overvotes,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Member of Governing Board of ESC - Putnam,Undervotes,66,34.38%,53,13,0
2019 General Election,2019-11-05,contest,For Member of Governing Board of ESC - Putnam,Contest Totals,192,100.00%,164,28,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Allen East,Kevin L. Dues,758,36.76%,695,55,8
2019 General Election,2019-11-05,contest,For Member of Board of Education - Allen East,Geri Ewing,666,32.30%,614,45,7
2019 General Election,2019-11-05,contest,For Member of Board of Education - Allen East,Total Votes Cast,"1,424",69.06%,"1,309",100,15
2019 General Election,2019-11-05,contest,For Member of Board of Education - Allen East,Overvotes,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Allen East,Undervotes,638,30.94%,585,42,11
2019 General Election,2019-11-05,contest,For Member of Board of Education - Allen East,Contest Totals,"2,062",100.00%,"1,894",142,26
2019 General Election,2019-11-05,contest,For Member of Board of Education - Bath,Michael C. Armentrout,743,17.72%,652,87,4
2019 General Election,2019-11-05,contest,For Member of Board of Education - Bath,Rob Foley,733,17.48%,652,75,6
2019 General Election,2019-11-05,contest,For Member of Board of Education - Bath,Timothy McKinney,599,14.28%,532,65,2
2019 General Election,2019-11-05,contest,For Member of Board of Education - Bath,Jackie Place,932,22.22%,810,116,6
2019 General Election,2019-11-05,contest,For Member of Board of Education - Bath,Phil White,547,13.04%,455,91,1
2019 General Election,2019-11-05,contest,For Member of Board of Education - Bath,Total Votes Cast,"3,554",84.74%,"3,101",434,19
2019 General Election,2019-11-05,contest,For Member of Board of Education - Bath,Overvotes,6,0.14%,3,3,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Bath,Undervotes,634,15.12%,541,85,8
2019 General Election,2019-11-05,contest,For Member of Board of Education - Bath,Contest Totals,"4,194",100.00%,"3,645",522,27
2019 General Election,2019-11-05,contest,For Member of Board of Education - Bluffton,Jeremy Scoles,969,42.24%,898,60,11
2019 General Election,2019-11-05,contest,For Member of Board of Education - Bluffton,Write-In Totals,220,9.59%,216,3,1
2019 General Election,2019-11-05,contest,For Member of Board of Education - Bluffton,Write-In: Lawrence Hoffman,189,8.24%,187,1,1
2019 General Election,2019-11-05,contest,For Member of Board of Education - Bluffton,Write-In: Not Valid,31,1.35%,29,2,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Bluffton,Not Assigned,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Bluffton,Total Votes Cast,"1,189",51.83%,"1,114",63,12
2019 General Election,2019-11-05,contest,For Member of Board of Education - Bluffton,Overvotes,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Bluffton,Undervotes,"1,105",48.17%,"1,012",83,10
2019 General Election,2019-11-05,contest,For Member of Board of Education - Bluffton,Contest Totals,"2,294",100.00%,"2,126",146,22
2019 General Election,2019-11-05,contest,For Member of Board of Education - Columbus Grove,Brad Brubaker,62,26.16%,54,8,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Columbus Grove,Brent Stechschulte,57,24.05%,50,7,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Columbus Grove,Derek Vance,55,23.21%,49,6,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Columbus Grove,Total Votes Cast,174,73.42%,153,21,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Columbus Grove,Overvotes,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Columbus Grove,Undervotes,63,26.58%,48,15,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Columbus Grove,Contest Totals,237,100.00%,201,36,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Delphos,Erika Illig,480,25.05%,434,44,2
2019 General Election,2019-11-05,contest,For Member of Board of Education - Delphos,Tony Wiechart,537,28.03%,484,53,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Delphos,Jamey Wisher,544,28.39%,484,59,1
2019 General Election,2019-11-05,contest,For Member of Board of Education - Delphos,Total Votes Cast,"1,561",81.47%,"1,402",156,3
2019 General Election,2019-11-05,contest,For Member of Board of Education - Delphos,Overvotes,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Delphos,Undervotes,355,18.53%,312,42,1
2019 General Election,2019-11-05,contest,For Member of Board of Education - Delphos,Contest Totals,"1,916",100.00%,"1,714",198,4
2019 General Election,2019-11-05,contest,For Member of Board of Education - Delphos,Jason A. Grogg,658,68.68%,591,65,2
2019 General Election,2019-11-05,contest,For Member of Board of Education - Delphos,Edward M. Weilacher,259,27.04%,234,25,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Delphos,Total Votes Cast,917,95.72%,825,90,2
2019 General Election,2019-11-05,contest,For Member of Board of Education - Delphos,Overvotes,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Delphos,Undervotes,41,4.28%,32,9,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Delphos,Contest Totals,958,100.00%,857,99,2
2019 General Election,2019-11-05,contest,For Member of Board of Education - Elida,Pat Schymanski,"1,415",32.39%,"1,233",172,10
2019 General Election,2019-11-05,contest,For Member of Board of Education - Elida,Brenda Stocker,"1,566",35.85%,"1,362",192,12
2019 General Election,2019-11-05,contest,For Member of Board of Education - Elida,Total Votes Cast,"2,981",68.25%,"2,595",364,22
2019 General Election,2019-11-05,contest,For Member of Board of Education - Elida,Overvotes,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Elida,Undervotes,"1,387",31.75%,"1,235",142,10
2019 General Election,2019-11-05,contest,For Member of Board of Education - Elida,Contest Totals,"4,368",100.00%,"3,830",506,32
2019 General Election,2019-11-05,contest,For Member of Board of Education - Lima,Sandra J. Monfort,"1,990",24.83%,"1,599",361,30
2019 General Election,2019-11-05,contest,For Member of Board of Education - Lima,Maralee Sullivan,"1,022",12.75%,804,208,10
2019 General Election,2019-11-05,contest,For Member of Board of Education - Lima,Write-In Totals,89,1.11%,75,14,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Lima,Write-In: Sally Windle,45,0.56%,39,6,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Lima,Write-In: Not Valid,44,0.55%,36,8,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Lima,Not Assigned,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Lima,Total Votes Cast,"3,101",38.69%,"2,478",583,40
2019 General Election,2019-11-05,contest,For Member of Board of Education - Lima,Overvotes,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Lima,Undervotes,"4,915",61.31%,"3,981",863,71
2019 General Election,2019-11-05,contest,For Member of Board of Education - Lima,Contest Totals,"8,016",100.00%,"6,459","1,446",111
2019 General Election,2019-11-05,contest,For Member of Board of Education - Pandora,Angie Basinger,17,33.33%,15,2,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Pandora,Brandy Rose Hovest,2,3.92%,2,0,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Pandora,Marcia Sue Hovest,1,1.96%,1,0,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Pandora,Vance Nofziger,5,9.80%,4,1,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Pandora,Jill Torres,12,23.53%,12,0,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Pandora,Richard Wahl,7,13.73%,6,1,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Pandora,Vanessa Wilson,4,7.84%,4,0,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Pandora,Total Votes Cast,48,94.12%,44,4,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Pandora,Overvotes,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Pandora,Undervotes,3,5.88%,1,2,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Pandora,Contest Totals,51,100.00%,45,6,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Perry,Yvonne E. Marrs,207,21.50%,162,45,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Perry,Stephanie Neal,230,23.88%,180,50,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Perry,William J. Shively,236,24.51%,178,58,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Perry,Total Votes Cast,673,69.89%,520,153,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Perry,Overvotes,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Perry,Undervotes,290,30.11%,209,81,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Perry,Contest Totals,963,100.00%,729,234,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Shawnee,Mike Carpenter,"1,735",37.34%,"1,459",260,16
2019 General Election,2019-11-05,contest,For Member of Board of Education - Shawnee,Rob Loescher,"1,305",28.09%,"1,086",209,10
2019 General Election,2019-11-05,contest,For Member of Board of Education - Shawnee,Total Votes Cast,"3,040",65.43%,"2,545",469,26
2019 General Election,2019-11-05,contest,For Member of Board of Education - Shawnee,Overvotes,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Shawnee,Undervotes,"1,606",34.57%,"1,367",223,16
2019 General Election,2019-11-05,contest,For Member of Board of Education - Shawnee,Contest Totals,"4,646",100.00%,"3,912",692,42
2019 General Election,2019-11-05,contest,For Member of Board of Education - Spencerville,Spencer R. Clum,258,35.25%,229,29,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Spencerville,Lori Ringwald,304,41.53%,268,35,1
2019 General Election,2019-11-05,contest,For Member of Board of Education - Spencerville,Total Votes Cast,562,76.78%,497,64,1
2019 General Election,2019-11-05,contest,For Member of Board of Education - Spencerville,Overvotes,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Spencerville,Undervotes,170,23.22%,153,16,1
2019 General Election,2019-11-05,contest,For Member of Board of Education - Spencerville,Contest Totals,732,100.00%,650,80,2
2019 General Election,2019-11-05,contest,For Member of Board of Education - Waynesfield-Goshen,Thomas B. Brookhart,0,,0,0,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Waynesfield-Goshen,David Chiles,0,,0,0,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Waynesfield-Goshen,M. Todd Spencer,0,,0,0,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Waynesfield-Goshen,Total Votes Cast,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Waynesfield-Goshen,Overvotes,0,,0,0,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Waynesfield-Goshen,Undervotes,0,,0,0,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Waynesfield-Goshen,Contest Totals,0,,0,0,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Waynesfield-Goshen,For the Tax Levy,340,69.39%,307,33,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Waynesfield-Goshen,Against the Tax Levy,146,29.80%,134,12,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Waynesfield-Goshen,Total Votes Cast,486,99.18%,441,45,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Waynesfield-Goshen,Overvotes,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Waynesfield-Goshen,Undervotes,4,0.82%,3,1,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Waynesfield-Goshen,Contest Totals,490,100.00%,444,46,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Waynesfield-Goshen,For the Tax,56,70.89%,48,8,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Waynesfield-Goshen,Against the Tax,23,29.11%,19,4,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Waynesfield-Goshen,Total Votes Cast,79,100.00%,67,12,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Waynesfield-Goshen,Overvotes,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Waynesfield-Goshen,Undervotes,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Waynesfield-Goshen,Contest Totals,79,100.00%,67,12,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Waynesfield-Goshen,For the Tax Levy,"8,694",69.57%,"7,474","1,154",66
2019 General Election,2019-11-05,contest,For Member of Board of Education - Waynesfield-Goshen,Against the Tax Levy,"3,585",28.69%,"3,117",432,36
2019 General Election,2019-11-05,contest,For Member of Board of Education - Waynesfield-Goshen,Total Votes Cast,"12,279",98.26%,"10,591","1,586",102
2019 General Election,2019-11-05,contest,For Member of Board of Education - Waynesfield-Goshen,Overvotes,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Waynesfield-Goshen,Undervotes,217,1.74%,165,44,8
2019 General Election,2019-11-05,contest,For Member of Board of Education - Waynesfield-Goshen,Contest Totals,"12,496",100.00%,"10,756","1,630",110
2019 General Election,2019-11-05,contest,For Member of Board of Education - Waynesfield-Goshen,Yes,239,61.60%,221,17,1
2019 General Election,2019-11-05,contest,For Member of Board of Education - Waynesfield-Goshen,No,141,36.34%,132,7,2
2019 General Election,2019-11-05,contest,For Member of Board of Education - Waynesfield-Goshen,Total Votes Cast,380,97.94%,353,24,3
2019 General Election,2019-11-05,contest,For Member of Board of Education - Waynesfield-Goshen,Overvotes,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Waynesfield-Goshen,Undervotes,8,2.06%,8,0,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Waynesfield-Goshen,Contest Totals,388,100.00%,361,24,3
2019 General Election,2019-11-05,contest,For Member of Board of Education - Waynesfield-Goshen,Yes,106,63.10%,86,20,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Waynesfield-Goshen,No,61,36.31%,49,12,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Waynesfield-Goshen,Total Votes Cast,167,99.40%,135,32,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Waynesfield-Goshen,Overvotes,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Waynesfield-Goshen,Undervotes,1,0.60%,1,0,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Waynesfield-Goshen,Contest Totals,168,100.00%,136,32,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Waynesfield-Goshen,Yes,108,65.45%,91,17,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Waynesfield-Goshen,No,55,33.33%,42,11,2
2019 General Election,2019-11-05,contest,For Member of Board of Education - Waynesfield-Goshen,Total Votes Cast,163,98.79%,133,28,2
2019 General Election,2019-11-05,contest,For Member of Board of Education - Waynesfield-Goshen,Overvotes,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Waynesfield-Goshen,Undervotes,2,1.21%,2,0,0
2019 General Election,2019-11-05,contest,For Member of Board of Education - Waynesfield-Goshen,Contest Totals,165,100.00%,135,28,2
